Item_Identifier;ID_Objet;Item_Weight;Item_Fat_Content;ID_Fat_Content;Item_Visibility;Item_Type;ID_Item_Type;Item_MRP;Outlet_Identifier;ID_Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;ID_Outlet_Size;Outlet_Location_Type;ID_Outlet_Location_Type;Outlet_Type;ID_Outlet_Type;Item_Outlet_Sales
FDP33;754;18.7;Low Fat;1;6.396817760952247;Snack Foods;14;256.6672;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3068.0064
FDO23;704;17.85;Low Fat;1;6.396817760952247;Breads;2;93.1436;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2174.5028
DRH01;65;17.5;Low Fat;1;9.7904029;Soft Drinks;15;174.8738;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2085.2856
NCX29;1530;10.0;Low Fat;1;8.929113699999998;Health and Hygiene;9;146.7102;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3791.0652
DRZ11;144;8.85;Regular;2;11.312389300000001;Soft Drinks;15;122.5388;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1609.9044
FDU02;965;13.35;Low Fat;1;10.2511504;Dairy;5;230.6352;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3435.528
FDK43;567;9.8;Low Fat;1;2.681843;Meat;11;126.002;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;2150.534
FDA46;181;13.6;Low Fat;1;11.7818348;Snack Foods;14;192.9136;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2527.3768
FDC02;237;21.35;Low Fat;1;6.910283099999999;Canned;4;259.9278;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;6768.5228
FDL50;610;12.15;Regular;2;4.2277867;Canned;4;126.5046;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;373.5138
FDM39;640;6.42;Low Fat;1;8.9498926;Dairy;5;178.1002;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;358.2004
NCP05;1435;19.6;Low Fat;1;6.396817760952247;Health and Hygiene;9;153.3024;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2428.8384
FDV49;1054;10.0;Low Fat;1;2.5879577;Canned;4;265.2226;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;5815.0972
FDL12;585;15.85;Regular;2;12.163272099999999;Baking Goods;1;60.622;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2576.646
NCL17;1375;7.39;Low Fat;1;6.7779712000000005;Health and Hygiene;9;143.8812;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3134.5864
FDM40;641;10.195;Low Fat;1;15.9803853;Frozen Foods;6;141.5154;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;850.8924
FDR13;827;9.895;Regular;2;2.8696932;Canned;4;117.0492;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;810.9444
FDA43;178;10.895;Low Fat;1;6.5041581;Fruits and Vegetables;7;196.3794;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3121.2704
NCP18;1439;12.15;Low Fat;1;2.8760012999999995;Household;10;151.4708;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;4815.0656
FDK21;553;7.905;Low Fat;1;1.0053105;Snack Foods;14;249.0408;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;6258.52
NCX54;1535;9.195;Low Fat;1;4.815733799999999;Household;10;106.1622;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2117.244
DRK35;108;8.365;Low Fat;1;7.1958197;Hard Drinks;8;38.0506;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;796.9626
FDY21;1180;15.1;Low Fat;1;17.3481304;Snack Foods;14;194.511;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;4910.275
FDM20;628;10.0;Low Fat;1;6.396817760952247;Fruits and Vegetables;7;246.9144;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3185.1872
FDV27;1036;7.97;Regular;2;4.0071131000000015;Meat;11;87.3514;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1062.6168
FDC46;267;17.7;Low Fat;1;19.506822600000003;Snack Foods;14;185.4266;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;184.4266
FDH19;441;19.35;Low Fat;1;3.3082215;Meat;11;172.5738;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;4865.6664
FDZ03;1215;13.65;Regular;2;7.8946455;Dairy;5;186.024;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1118.544
DRH37;73;17.6;Low Fat;1;4.1700756000000005;Soft Drinks;15;164.8526;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2302.3364
NCI17;1340;8.645;Low Fat;1;14.342264300000002;Health and Hygiene;9;95.841;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2027.361
FDJ58;541;15.6;Regular;2;10.5296072;Snack Foods;14;170.1764;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3435.528
FDH35;453;18.25;Low Fat;1;6.396817760952247;Starchy Foods;16;164.7526;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;4604.6728
FDG02;394;7.855;Low Fat;1;1.1324862;Canned;4;189.6188;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2285.0256
NCZ18;1549;7.825;Low Fat;1;18.635714800000002;Household;10;254.3698;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;5580.7356
FDC29;255;8.39;Regular;2;2.4205661;Frozen Foods;6;114.0176;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2290.3520000000008
FDQ10;779;12.85;Low Fat;1;3.3230816000000005;Snack Foods;14;172.3422;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1207.0954
FDL04;581;19.0;Low Fat;1;11.2556507;Frozen Foods;6;104.9622;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1587.933
FDV25;1034;5.905;Low Fat;1;6.396817760952247;Canned;4;222.5456;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;5305.0944
FDD58;317;7.76;Low Fat;1;5.9352240999999974;Snack Foods;14;101.87;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1697.79
FDN04;655;11.8;Regular;2;1.4087056999999998;Frozen Foods;6;180.3344;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1427.4752
FDV45;1050;16.75;Low Fat;1;4.5230944000000015;Snack Foods;14;187.9556;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;4693.89
FDG20;404;15.5;Regular;2;12.639886;Fruits and Vegetables;7;177.0028;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2479.4392
FDZ55;1255;6.055;Low Fat;1;2.5403898;Fruits and Vegetables;7;160.99200000000005;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2716.4640000000004
FDN33;673;6.305;Regular;2;12.311576400000002;Snack Foods;14;95.6436;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;661.8052
FDN27;669;20.85;Low Fat;1;3.962400600000001;Meat;11;117.2808;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1523.3504
FDW20;1079;20.75;Low Fat;1;4.0421192999999995;Fruits and Vegetables;7;122.173;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;369.519
DRG27;58;8.895;Low Fat;1;10.527411099999998;Dairy;5;39.9138;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;690.4346
DRI25;83;19.6;Low Fat;1;3.3970195000000003;Soft Drinks;15;55.1614;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1381.535
NCR17;1465;9.8;Low Fat;1;2.4378706;Health and Hygiene;9;114.5492;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1274.3412
FDF41;382;12.15;Low Fat;1;13.138376199999998;Frozen Foods;6;246.046;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1231.73
FDB56;232;8.75;Regular;2;7.461309000000001;Fruits and Vegetables;7;187.4556;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3755.112
FDB56;232;8.75;Regular;2;7.4627200999999985;Fruits and Vegetables;7;187.8556;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1314.2892
FDT28;937;13.3;Low Fat;1;6.3695084;Frozen Foods;6;151.0708;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1805.6496
FDW57;1110;8.31;Regular;2;11.5857223;Snack Foods;14;179.1028;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3896.2616
DRB48;8;16.75;Regular;2;2.4832806;Soft Drinks;15;38.7822;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;667.7974
FDP09;735;19.75;Low Fat;1;3.4027909000000003;Snack Foods;14;212.0902;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3185.853
FDH14;438;17.1;Regular;2;4.6769599999999985;Canned;4;141.1838;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;2247.7408
FDA47;182;10.5;Regular;2;11.657670199999998;Baking Goods;1;163.121;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1794.331
FDG12;400;6.635;Regular;2;6.396817760952247;Baking Goods;1;121.3098;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2530.7058
DRK49;112;14.15;Low Fat;1;3.5913805;Soft Drinks;15;41.4138;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;812.2760000000003
FDD03;280;13.3;Low Fat;1;7.9806266;Dairy;5;232.53;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;699.09
FDS52;907;8.89;Low Fat;1;0.5505481;Frozen Foods;6;102.4016;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2732.4432
FDV11;1022;9.1;Regular;2;6.396817760952247;Breads;2;173.2054;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3151.8972
FDD17;289;7.5;Low Fat;1;3.2677678;Frozen Foods;6;239.0906;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;5942.265
FDZ16;1225;16.85;Regular;2;16.0760054;Frozen Foods;6;192.4478;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;4843.695
FDZ46;1248;7.485;Low Fat;1;6.911065;Snack Foods;14;109.0228;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2542.0244
DRA12;1;11.6;Low Fat;1;4.1177505000000005;Soft Drinks;15;140.3154;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2552.6772
FDY58;1210;11.65;Low Fat;1;4.0081193;Snack Foods;14;227.0694;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1141.847
NCF19;1314;13.0;Low Fat;1;3.5307322;Household;10;47.5034;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;680.4476
DRJ13;92;12.65;Low Fat;1;6.3017847;Soft Drinks;15;159.0578;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2085.9514
FDB14;201;20.25;Regular;2;17.193878100000006;Canned;4;92.512;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;186.424
FDJ38;528;8.6;Regular;2;4.0197932000000005;Canned;4;190.153;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3036.048
FDW11;1072;12.6;Low Fat;1;4.9058014000000005;Breads;2;62.7194;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;866.8716
FDL40;604;17.7;Low Fat;1;1.161096;Frozen Foods;6;95.041;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;868.8689999999997
DRI49;87;14.15;Low Fat;1;18.3507295;Soft Drinks;15;82.4276;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1137.1864
FDV38;1045;19.25;Low Fat;1;10.2349519;Dairy;5;52.7956;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;928.1252
DRG23;56;8.88;Low Fat;1;8.670898699999999;Hard Drinks;8;151.7682;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;762.341
NCP30;1441;20.5;Low Fat;1;3.2835147000000005;Household;10;40.2822;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;707.0796
NCH54;1337;13.5;Low Fat;1;7.266912;Household;10;160.292;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1438.128
FDS52;907;8.89;Low Fat;1;0.9163216000000001;Frozen Foods;6;101.7016;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;101.2016
FDG02;394;7.855;Low Fat;1;1.1307038;Canned;4;188.5188;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;952.094
NCO26;1425;7.235;Low Fat;1;7.6855628;Household;10;116.0492;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1969.4364
FDB51;229;6.92;Low Fat;1;3.8532062000000007;Dairy;5;60.5852;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1314.2892
FDX44;1149;9.3;Low Fat;1;4.3209581;Fruits and Vegetables;7;90.8172;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;535.3032
NCN07;1404;18.5;Low Fat;1;5.6816464999999985;Others;12;132.1284;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;263.6568
NCC31;1286;8.02;Low Fat;1;1.9866705;Household;10;154.5972;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1402.1748
NCX54;1535;9.195;Low Fat;1;4.8331717;Household;10;105.1622;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1693.7952
NCO55;1433;12.8;Low Fat;1;9.122185499999999;Others;12;105.5938;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2143.876
NCC30;1285;16.6;Low Fat;1;2.7622076000000004;Household;10;177.6344;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2676.516
FDI16;479;14.0;Regular;2;6.396817760952247;Frozen Foods;6;53.06399999999999;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;905.488
FDP16;741;18.6;Low Fat;1;3.9355947;Frozen Foods;6;246.3802;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;7370.406
FDB11;199;16.0;Low Fat;1;6.0836524;Starchy Foods;16;226.8404;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;6301.1312
NCB06;1271;17.6;Low Fat;1;8.2316506;Health and Hygiene;9;160.692;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1597.92
FDA45;180;21.25;Low Fat;1;15.5350299;Snack Foods;14;178.237;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;529.311
NCO26;1425;7.235;Low Fat;1;7.6841095;Household;10;117.5492;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1969.4364
DRJ25;95;14.6;Low Fat;1;15.1419185;Soft Drinks;15;50.3692;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1034.6532
FDR28;840;13.85;Regular;2;2.6001976000000004;Frozen Foods;6;161.52100000000004;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1794.331
FDI04;470;13.65;Regular;2;7.3209447;Frozen Foods;6;197.6426;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;2768.3964
FDX20;1129;7.365;Low Fat;1;4.2560252;Fruits and Vegetables;7;226.172;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3169.208
NCI18;1341;18.35;Low Fat;1;1.4081156;Household;10;223.5746;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3589.9936
FDB36;217;5.465;Regular;2;6.396817760952247;Baking Goods;1;132.5626;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;262.3252
FDN13;660;18.6;Low Fat;1;15.2918384;Breakfast;3;99.8358;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1910.1802
DRD24;21;13.85;Low Fat;1;3.0969274;Soft Drinks;15;140.9154;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1701.7848
FDQ28;795;14.0;Regular;2;6.037677599999999;Frozen Foods;6;154.5656;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;2471.4496
FDM22;630;14.0;Regular;2;4.192285;Snack Foods;14;54.764;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1331.6
FDV25;1034;5.905;Low Fat;1;4.5838211;Canned;4;222.5456;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3315.684
DRF49;48;7.27;Low Fat;1;7.107793900000001;Soft Drinks;15;114.2518;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2618.5914
FDW51;1106;6.155;Regular;2;9.4659871;Meat;11;214.556;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2769.728
DRL01;114;19.5;Regular;2;7.7608838;Soft Drinks;15;233.4958;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;5375.0034
FDP25;748;15.2;Low Fat;1;2.1327477000000004;Canned;4;216.8824;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2838.9712
FDL50;610;12.15;Regular;2;4.2485444;Canned;4;125.0046;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1743.0644
FDW11;1072;12.6;Low Fat;1;4.89808;Breads;2;61.9194;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;619.194
NCM43;1398;14.5;Low Fat;1;1.9471688000000003;Others;12;164.821;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2120.573
FDK44;568;16.6;Low Fat;1;12.2918852;Fruits and Vegetables;7;173.0738;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3823.0236
FDM15;626;11.8;Regular;2;5.7373797;Meat;11;151.4366;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1360.2294
FDS31;889;13.1;Regular;2;4.4155597;Fruits and Vegetables;7;178.8318;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;3969.4996
FDI32;488;17.7;Low Fat;1;29.1865402;Fruits and Vegetables;7;115.1834;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;345.5502
FDR47;854;17.85;Low Fat;1;6.396817760952247;Breads;2;196.5794;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;585.2382
FDB35;216;12.3;Regular;2;6.4750025;Starchy Foods;16;92.6804;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1010.6844
NCU05;1496;11.8;Low Fat;1;9.8312421;Health and Hygiene;9;81.4618;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;161.1236
FDO24;705;11.1;Low Fat;1;17.657303499999994;Baking Goods;1;157.4604;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3010.7476
FDV39;1046;11.3;Low Fat;1;0.7294651999999999;Meat;11;198.1426;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;988.713
FDU50;1005;5.75;Regular;2;7.510765599999999;Dairy;5;112.8176;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1374.2112
FDK58;577;11.35;Regular;2;4.516579599999999;Snack Foods;14;100.0016;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1012.016
NCW29;1520;14.0;Low Fat;1;2.8907832;Health and Hygiene;9;130.431;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;778.9860000000001
FDE04;320;19.75;Regular;2;1.8059621;Frozen Foods;6;179.766;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2336.958
NCB19;1274;6.525;Low Fat;1;9.0436094;Household;10;85.0882;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2233.0932
FDV15;1026;10.3;Low Fat;1;14.639971199999998;Meat;11;103.9648;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1661.8368
FDL58;615;5.78;Regular;2;7.426435599999999;Snack Foods;14;264.7568;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;4745.8224
FDA08;151;11.85;Regular;2;5.0186726;Fruits and Vegetables;7;164.1526;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3124.5994
FDT43;948;16.35;Low Fat;1;2.0631654;Fruits and Vegetables;7;50.1324;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;467.3916
FDT20;929;10.5;Low Fat;1;4.1395445;Fruits and Vegetables;7;37.6164;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;540.6296
FDB41;222;19.0;Regular;2;9.7313129;Frozen Foods;6;48.0718;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;992.7078
NCN55;1417;14.6;Low Fat;1;5.9582996;Others;12;238.8538;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;6008.845
NCM53;1399;18.75;Low Fat;1;5.214645599999999;Health and Hygiene;9;104.628;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;745.696
FDE36;341;5.26;Regular;2;4.1764487;Baking Goods;1;161.8868;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3275.736
FDN57;686;18.25;Low Fat;1;5.434418599999999;Snack Foods;14;140.2154;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1701.7848
FDI19;480;15.1;Low Fat;1;5.2339069;Meat;11;242.7512;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;4119.9704
FDF24;371;15.5;Regular;2;4.2464962;Baking Goods;1;81.5934;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;327.5736
FDG52;424;13.65;Low Fat;1;6.573288299999999;Frozen Foods;6;45.7402;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;780.9834
DRF36;45;16.1;Low Fat;1;2.3625114;Soft Drinks;15;189.3846;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3630.6074
FDX40;1147;12.85;Low Fat;1;16.569421900000002;Frozen Foods;6;39.7164;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;231.6984
DRK12;105;9.5;Low Fat;1;4.1878397000000005;Soft Drinks;15;32.99;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;133.16
DRC27;14;13.8;Low Fat;1;5.8091482;Dairy;5;245.1802;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;5650.6446
FDL58;615;5.78;Regular;2;6.396817760952247;Snack Foods;14;263.7568;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2636.568
NCD30;1295;19.7;Low Fat;1;2.6903714;Household;10;96.0726;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1272.3438
