ID_Objet;Item_Weight;ID_Fat_Content;Item_Visibility;ID_Item_Type;Item_MRP;ID_Outlet_Identifier;Outlet_Establishment_Year;ID_Outlet_Size;ID_Outlet_Location_Type;ID_Outlet_Type;Item_Outlet_Sales
73;17.6;1;0.041700756;15;164.8526;6;2002;3;2;2;2302.3364
1340;8.645;1;0.14342264300000002;9;95.841;7;1997;4;1;2;2027.361
541;15.6;2;0.105296072;14;170.1764;7;1997;4;1;2;3435.528
453;18.25;1;0.06396817760952248;16;164.7526;6;2002;3;2;2;4604.6728
394;7.855;1;0.011324862;4;189.6188;3;2007;3;2;2;2285.0256
1549;7.825;1;0.186357148;10;254.3698;8;1999;2;1;2;5580.7356
255;8.39;2;0.024205661;6;114.0176;7;1997;4;1;2;2290.3520000000008
779;12.85;1;0.033230816;14;172.3422;8;1999;2;1;2;1207.0954
581;19.0;1;0.112556507;6;104.9622;3;2007;3;2;2;1587.933
1034;5.905;1;0.06396817760952248;4;222.5456;6;2002;3;2;2;5305.0944
317;7.76;1;0.059352240999999986;14;101.87;7;1997;4;1;2;1697.79
655;11.8;2;0.014087057;6;180.3344;7;1997;4;1;2;1427.4752
1050;16.75;1;0.045230944;14;187.9556;4;2009;2;3;3;4693.89
404;15.5;2;0.12639886;7;177.0028;3;2007;3;2;2;2479.4392
1255;6.055;1;0.025403898;7;160.99200000000005;5;2004;4;2;2;2716.4640000000004
673;6.305;2;0.123115764;14;95.6436;7;1997;4;1;2;661.8052
669;20.85;1;0.039624006;11;117.2808;8;1999;2;1;2;1523.3504
1079;20.75;1;0.040421193;7;122.173;1;1998;3;3;1;369.519
58;8.895;1;0.105274111;5;39.9138;8;1999;2;1;2;690.4346
83;19.6;1;0.033970195;15;55.1614;6;2002;3;2;2;1381.535
1465;9.8;1;0.024378706;9;114.5492;5;2004;4;2;2;1274.3412
382;12.15;1;0.131383762;6;246.046;8;1999;2;1;2;1231.73
232;8.75;2;0.07461309;7;187.4556;5;2004;4;2;2;3755.112
232;8.75;2;0.07462720099999999;7;187.8556;7;1997;4;1;2;1314.2892
937;13.3;1;0.063695084;6;151.0708;6;2002;3;2;2;1805.6496
1110;8.31;2;0.115857223;14;179.1028;8;1999;2;1;2;3896.2616
8;16.75;2;0.024832806;15;38.7822;2;1987;1;3;2;667.7974
735;19.75;1;0.034027909;14;212.0902;4;2009;2;3;3;3185.853
438;17.1;2;0.0467696;4;141.1838;2;1987;1;3;2;2247.7408
182;10.5;2;0.116576702;1;163.121;2;1987;1;3;2;1794.331
400;6.635;2;0.06396817760952248;1;121.3098;6;2002;3;2;2;2530.7058
112;14.15;1;0.035913805;15;41.4138;2;1987;1;3;2;812.2760000000003
280;13.3;1;0.079806266;5;232.53;7;1997;4;1;2;699.09
907;8.89;1;0.005505481;6;102.4016;3;2007;3;2;2;2732.4432
1022;9.1;2;0.06396817760952248;2;173.2054;6;2002;3;2;2;3151.8972
289;7.5;1;0.032677677999999995;6;239.0906;8;1999;2;1;2;5942.265
1225;16.85;2;0.160760054;6;192.4478;3;2007;3;2;2;4843.695
1248;7.485;1;0.06911065;14;109.0228;5;2004;4;2;2;2542.0244
1;11.6;1;0.041177505;15;140.3154;3;2007;3;2;2;2552.6772
1210;11.65;1;0.040081193;14;227.0694;4;2009;2;3;3;1141.847
1314;13.0;1;0.035307322;10;47.5034;3;2007;3;2;2;680.4476
92;12.65;1;0.063017847;15;159.0578;6;2002;3;2;2;2085.9514
201;20.25;2;0.171938781;4;92.512;1;1998;3;3;1;186.424
528;8.6;2;0.040197932;4;190.153;5;2004;4;2;2;3036.048
1072;12.6;1;0.049058014;2;62.7194;3;2007;3;2;2;866.8716
604;17.7;1;0.01161096;6;95.041;5;2004;4;2;2;868.8689999999997
87;14.15;1;0.183507295;15;82.4276;7;1997;4;1;2;1137.1864
1045;19.25;1;0.102349519;5;52.7956;3;2007;3;2;2;928.1252
56;8.88;1;0.08670898699999999;8;151.7682;2;1987;1;3;2;762.341
1441;20.5;1;0.032835147;10;40.2822;6;2002;3;2;2;707.0796
1337;13.5;1;0.07266912;10;160.292;7;1997;4;1;2;1438.128
907;8.89;1;0.009163216;6;101.7016;1;1998;3;3;1;101.2016
394;7.855;1;0.011307038;4;188.5188;4;2009;2;3;3;952.094
1425;7.235;1;0.076855628;10;116.0492;7;1997;4;1;2;1969.4364
229;6.92;1;0.038532062;5;60.5852;6;2002;3;2;2;1314.2892
1149;9.3;1;0.043209581;7;90.8172;3;2007;3;2;2;535.3032
1404;18.5;1;0.056816465;12;132.1284;1;1998;3;3;1;263.6568
1286;8.02;1;0.019866705;10;154.5972;5;2004;4;2;2;1402.1748
1535;9.195;1;0.048331717;10;105.1622;3;2007;3;2;2;1693.7952
1433;12.8;1;0.091221855;12;105.5938;6;2002;3;2;2;2143.876
1285;16.6;1;0.027622076;10;177.6344;8;1999;2;1;2;2676.516
479;14.0;2;0.06396817760952248;6;53.06399999999999;5;2004;4;2;2;905.488
741;18.6;1;0.039355947;6;246.3802;8;1999;2;1;2;7370.406
199;16.0;1;0.060836524;16;226.8404;5;2004;4;2;2;6301.1312
1271;17.6;1;0.082316506;9;160.692;5;2004;4;2;2;1597.92
180;21.25;1;0.155350299;14;178.237;5;2004;4;2;2;529.311
1425;7.235;1;0.076841095;10;117.5492;5;2004;4;2;2;1969.4364
95;14.6;1;0.151419185;15;50.3692;3;2007;3;2;2;1034.6532
840;13.85;2;0.026001976;6;161.52100000000004;4;2009;2;3;3;1794.331
470;13.65;2;0.073209447;6;197.6426;4;2009;2;3;3;2768.3964
1129;7.365;1;0.042560252;7;226.172;7;1997;4;1;2;3169.208
1341;18.35;1;0.014081156;10;223.5746;4;2009;2;3;3;3589.9936
217;5.465;2;0.06396817760952248;1;132.5626;4;2009;2;3;3;262.3252
660;18.6;1;0.152918384;3;99.8358;3;2007;3;2;2;1910.1802
21;13.85;1;0.030969274;15;140.9154;3;2007;3;2;2;1701.7848
795;14.0;2;0.060376775999999986;6;154.5656;2;1987;1;3;2;2471.4496
630;14.0;2;0.04192285;14;54.764;2;1987;1;3;2;1331.6
1034;5.905;1;0.045838211;4;222.5456;4;2009;2;3;3;3315.684
48;7.27;1;0.071077939;15;114.2518;7;1997;4;1;2;2618.5914
1106;6.155;2;0.094659871;11;214.556;7;1997;4;1;2;2769.728
114;19.5;2;0.077608838;15;233.4958;3;2007;3;2;2;5375.0034
748;15.2;1;0.021327477;4;216.8824;3;2007;3;2;2;2838.9712
610;12.15;2;0.042485444;4;125.0046;4;2009;2;3;3;1743.0644
1072;12.6;1;0.048980800000000005;2;61.9194;4;2009;2;3;3;619.194
1398;14.5;1;0.019471688;12;164.821;5;2004;4;2;2;2120.573
568;16.6;1;0.122918852;7;173.0738;3;2007;3;2;2;3823.0236
626;11.8;2;0.057373797;11;151.4366;2;1987;1;3;2;1360.2294
889;13.1;2;0.044155597000000005;7;178.8318;2;1987;1;3;2;3969.4996
488;17.7;1;0.291865402;7;115.1834;1;1998;3;3;1;345.5502
854;17.85;1;0.06396817760952248;2;196.5794;1;1998;3;3;1;585.2382
216;12.3;2;0.064750025;16;92.6804;6;2002;3;2;2;1010.6844
1496;11.8;1;0.098312421;9;81.4618;1;1998;3;3;1;161.1236
705;11.1;1;0.176573035;1;157.4604;6;2002;3;2;2;3010.7476
1046;11.3;1;0.007294651999999999;11;198.1426;6;2002;3;2;2;988.713
1005;5.75;2;0.075107656;5;112.8176;2;1987;1;3;2;1374.2112
577;11.35;2;0.045165796;14;100.0016;4;2009;2;3;3;1012.016
1520;14.0;1;0.028907832;9;130.431;8;1999;2;1;2;778.9860000000001
320;19.75;2;0.018059621;6;179.766;6;2002;3;2;2;2336.958
1274;6.525;1;0.090436094;10;85.0882;8;1999;2;1;2;2233.0932
1026;10.3;1;0.146399712;11;103.9648;8;1999;2;1;2;1661.8368
615;5.78;2;0.07426435599999999;14;264.7568;8;1999;2;1;2;4745.8224
151;11.85;2;0.050186726;7;164.1526;6;2002;3;2;2;3124.5994
948;16.35;1;0.020631654;7;50.1324;4;2009;2;3;3;467.3916
929;10.5;1;0.041395445;7;37.6164;7;1997;4;1;2;540.6296
222;19.0;2;0.097313129;6;48.0718;7;1997;4;1;2;992.7078
1417;14.6;1;0.059582996;12;238.8538;8;1999;2;1;2;6008.845
1399;18.75;1;0.052146456;9;104.628;6;2002;3;2;2;745.696
341;5.26;2;0.041764487;1;161.8868;5;2004;4;2;2;3275.736
686;18.25;1;0.054344186;14;140.2154;6;2002;3;2;2;1701.7848
480;15.1;1;0.052339069;11;242.7512;7;1997;4;1;2;4119.9704
371;15.5;2;0.042464962;1;81.5934;1;1998;3;3;1;327.5736
424;13.65;1;0.06573288299999999;6;45.7402;8;1999;2;1;2;780.9834
45;16.1;1;0.023625114;15;189.3846;6;2002;3;2;2;3630.6074
1147;12.85;1;0.165694219;6;39.7164;1;1998;3;3;1;231.6984
105;9.5;1;0.041878397000000005;15;32.99;5;2004;4;2;2;133.16
14;13.8;1;0.058091482;5;245.1802;5;2004;4;2;2;5650.6446
615;5.78;2;0.06396817760952248;14;263.7568;3;2007;3;2;2;2636.568
1295;19.7;1;0.026903714;10;96.0726;6;2002;3;2;2;1272.3438
1555;14.65;1;0.06396817760952248;10;161.5552;1;1998;3;3;1;324.9104
851;6.11;2;0.06396817760952248;7;131.2968;1;1998;3;3;1;260.9936
751;13.65;2;0.134975628;6;260.0936;1;1998;3;3;1;260.9936
1126;17.2;1;0.15616879;11;160.6578;2;1987;1;3;2;3690.5294
176;6.32;1;0.06396817760952248;11;40.2822;5;2004;4;2;2;1139.1838
1182;4.88;2;0.133700752;1;52.9298;8;1999;2;1;2;1995.4026
278;5.425;2;0.115119905;1;88.3514;3;2007;3;2;2;1416.8224
448;15.85;2;0.110030997;6;37.2506;7;1997;4;1;2;265.6542
934;7.5;1;0.051038045;4;121.7072;3;2007;3;2;2;3552.7088
92;12.65;1;0.062837968;15;161.5578;2;1987;1;3;2;2406.867
1079;20.75;1;0.024129332000000003;7;124.173;2;1987;1;3;2;2956.152
904;9.0;1;0.06396817760952248;4;79.7644;5;2004;4;2;2;1649.8524
613;14.1;1;0.126035694;7;86.4198;6;2002;3;2;2;1133.8574
365;7.55;1;0.027164679;4;152.334;5;2004;4;2;2;2603.278
1291;13.0;1;0.099325278;10;45.40600000000001;7;1997;4;1;2;605.878
216;12.3;2;0.064565202;16;92.9804;2;1987;1;3;2;1929.4884
1469;17.25;1;0.113748685;10;251.3724;6;2002;3;2;2;6795.1548
1466;15.85;1;0.020603511;10;42.7112;3;2007;3;2;2;639.168
1502;18.85;1;0.052044976;9;192.1846;5;2004;4;2;2;3248.4382
1208;16.35;2;0.06276442900000001;7;227.6062;3;2007;3;2;2;7222.5984
101;14.1;1;0.08797726199999999;5;229.0668;5;2004;4;2;2;3225.1352
553;7.905;1;0.010010425;14;249.0408;5;2004;4;2;2;3755.112
1183;12.0;1;0.033946163;4;179.3976;2;1987;1;3;2;3440.8544
999;12.15;2;0.058414678;7;163.4552;5;2004;4;2;2;974.7312
605;10.1;1;0.027106459;11;75.367;8;1999;2;1;2;535.969
359;17.5;1;0.027022883;6;262.491;3;2007;3;2;2;5259.82
590;17.1;1;0.128937661;7;112.3886;4;2009;2;3;3;1779.0176
1039;7.785;1;0.088846306;7;61.451;8;1999;2;1;2;759.012
526;11.8;2;0.09357779;14;125.9704;2;1987;1;3;2;1877.556
397;13.15;2;0.165694678;7;171.8764;6;2002;3;2;2;3779.0808
1074;8.5;1;0.098438394;4;51.1324;3;2007;3;2;2;259.66200000000003
1340;8.645;1;0.143303291;9;96.341;2;1987;1;3;2;193.082
1166;17.6;2;0.076276208;11;110.9202;6;2002;3;2;2;1687.803
874;9.1;1;0.175103435;1;127.5362;3;2007;3;2;2;4655.9394
538;12.8;2;0.023511371;11;225.9404;2;1987;1;3;2;4950.8888
103;7.63;1;0.06105276;15;95.4436;5;2004;4;2;2;1418.154
409;9.285;2;0.049559042000000005;6;246.4144;3;2007;3;2;2;1225.072
1194;13.6;2;0.119418124;5;231.03;6;2002;3;2;2;5359.69
652;8.895;1;0.072545601;3;176.237;6;2002;3;2;2;1764.37
1474;16.35;1;0.090486828;10;195.211;2;1987;1;3;2;2553.343
407;7.975;1;0.014618973;1;85.225;2;1987;1;3;2;1081.925
429;15.85;1;0.043479125999999986;16;36.7164;3;2007;3;2;2;308.9312
634;15.7;1;0.045166237000000005;6;178.666;2;1987;1;3;2;2516.724
1067;8.985;2;0.057827101;6;128.83100000000002;7;1997;4;1;2;1428.141
886;20.35;1;0.089394766;5;260.1594;2;1987;1;3;2;2093.2752
813;6.59;1;0.10550944;7;85.6908;2;1987;1;3;2;1929.4884
573;19.85;1;0.005234153;5;264.0884;5;2004;4;2;2;5829.7448
592;16.85;1;0.036390174;14;91.4488;7;1997;4;1;2;2082.6224
1207;16.75;1;0.081252534;7;256.4988;2;1987;1;3;2;7452.9652
1166;17.6;2;0.076552407;11;110.5202;3;2007;3;2;2;450.0808
553;7.905;1;0.016758568999999997;14;250.4408;1;1998;3;3;1;500.6816
1236;7.785;2;0.038288087;7;103.1964;4;2009;2;3;3;736.3748
1549;7.825;1;0.186032678;10;253.0698;5;2004;4;2;2;6088.0752
36;20.75;1;0.021370201;15;153.0024;3;2007;3;2;2;2277.036
946;6.26;2;0.009866049;11;151.1366;5;2004;4;2;2;2267.049
322;18.2;1;0.082551042;7;147.3734;1;1998;3;3;1;296.9468
1291;13.0;1;0.099729888;10;46.306;4;2009;2;3;3;559.2719999999998
233;20.25;2;0.018801549;7;222.1772;5;2004;4;2;2;5559.43
1495;8.695;1;0.119721451;10;95.5094;8;1999;2;1;2;1237.7222
48;7.27;1;0.071222087;15;113.5518;6;2002;3;2;2;569.259
368;12.85;1;0.033287541000000004;7;198.4768;6;2002;3;2;2;1379.5376
447;7.075;1;0.05858462;5;142.7128;4;2009;2;3;3;1869.5664
1211;8.195;1;0.031452265;1;94.3462;8;1999;2;1;2;925.462
563;7.09;1;0.00721395;1;47.9034;5;2004;4;2;2;583.2408
1395;6.095;1;0.081196619;12;141.4154;7;1997;4;1;2;1418.154
338;19.35;2;0.049916364000000005;7;80.2644;3;2007;3;2;2;942.7728
993;6.15;1;0.04627095;1;99.3384;7;1997;4;1;2;2364.9216
1462;17.7;1;0.012540003;10;167.0474;5;2004;4;2;2;5895.659000000002
704;17.85;1;0.147023834;2;93.7436;4;2009;2;3;3;1134.5232
37;9.395;1;0.15965759599999998;15;224.972;6;2002;3;2;2;7696.648
141;15.75;1;0.141398626;8;250.5382;3;2007;3;2;2;2775.7202
206;7.475;1;0.148821808;7;241.2854;6;2002;3;2;2;5317.0788
820;7.075;1;0.06396817760952248;6;98.0068;4;2009;2;3;3;874.8612
1132;6.445;1;0.029691762000000007;1;92.6436;7;1997;4;1;2;1039.9796
1128;19.1;1;0.096715523;7;235.0958;5;2004;4;2;2;3038.0454
304;20.25;2;0.014790558999999997;5;193.6162;5;2004;4;2;2;3848.324
146;15.0;2;0.054378253;4;59.1904;7;1997;4;1;2;527.3136
891;6.67;2;0.123428594;14;89.1514;7;1997;4;1;2;2390.8878
212;16.7;2;0.052368061;6;112.7176;2;1987;1;3;2;801.6232
385;7.07;1;0.093861144;14;115.5834;6;2002;3;2;2;1267.0174
170;6.48;1;0.033968647000000005;14;148.0076;6;2002;3;2;2;886.8456
241;19.0;2;0.173154079;7;228.272;1;1998;3;3;1;452.744
231;13.35;1;0.139735226;6;147.5392;6;2002;3;2;2;3877.6192
1143;9.695;2;0.12848269;1;223.9404;8;1999;2;1;2;4950.8888
19;15.0;1;0.049357077;15;62.6168;3;2007;3;2;2;958.752
272;11.15;2;0.008326735;5;149.9708;3;2007;3;2;2;1956.1204
224;20.85;1;0.021362955;7;103.2306;8;1999;2;1;2;2404.2038
1365;9.8;1;0.151420934;12;194.3478;1;1998;3;3;1;387.4956
1056;16.35;1;0.032511818;11;165.0842;2;1987;1;3;2;994.7052
1239;9.6;2;0.022323658;2;101.299;6;2002;3;2;2;1754.3829999999994
1062;13.35;1;0.048124443;2;216.7166;6;2002;3;2;2;3918.8988
74;20.7;1;0.09261307;5;76.367;2;1987;1;3;2;306.268
1008;16.2;1;0.035984104;7;260.6278;6;2002;3;2;2;4425.5726
1430;5.5;1;0.04709821;12;101.3016;7;1997;4;1;2;3339.6528
776;15.1;2;0.087584126;7;221.7456;6;2002;3;2;2;6410.3224
373;15.7;2;0.038078899;6;122.9046;3;2007;3;2;2;1992.0736
616;7.895;2;0.095102092;3;104.4332;3;2007;3;2;2;2870.9296
836;17.35;2;0.062799379;1;88.18299999999998;2;1987;1;3;2;539.298
1539;7.285;1;0.031125709;10;174.3054;2;1987;1;3;2;4377.635
1541;20.25;1;0.026005891;10;180.9976;6;2002;3;2;2;2716.4640000000004
84;15.85;1;0.107765165;15;59.5904;8;1999;2;1;2;703.0848
596;6.17;1;0.010647477;11;66.3826;8;1999;2;1;2;1937.478
1427;19.5;1;0.015749341;10;182.2608;8;1999;2;1;2;3307.6944
1272;19.2;1;0.077628053;10;197.611;8;1999;2;1;2;3142.576
1134;16.7;1;0.06396817760952248;4;181.2292;4;2009;2;3;3;2554.0088
771;20.85;2;0.056695731;2;104.0648;4;2009;2;3;3;1869.5664
863;14.5;2;0.063993068;2;260.4594;6;2002;3;2;2;5494.8474
936;11.395;2;0.06952926200000001;11;233.1616;2;1987;1;3;2;6093.4016
78;7.97;1;0.034452949;15;174.0422;7;1997;4;1;2;2586.633
970;7.71;2;0.06670068;14;55.2956;8;1999;2;1;2;1255.6988
446;19.25;2;0.034699737;4;141.7496;7;1997;4;1;2;4093.3384
447;7.075;1;0.058346939;5;142.2128;7;1997;4;1;2;3163.8816
455;11.6;2;0.07892957099999999;6;79.9276;7;1997;4;1;2;1137.1864
135;12.1;1;0.016895293000000002;8;178.56599999999997;4;2009;2;3;3;898.83
1423;10.0;1;0.073379745;9;118.244;7;1997;4;1;2;2756.412000000001
1163;14.35;1;0.08075758;1;81.896;6;2002;3;2;2;878.8560000000001
931;10.395;1;0.112271498;14;58.222;8;1999;2;1;2;659.1419999999998
420;8.1;1;0.127929521;7;211.4902;2;1987;1;3;2;3610.6334
306;8.05;2;0.07838564;7;256.4646;5;2004;4;2;2;5153.292
877;9.195;2;0.078502143;11;108.7596;3;2007;3;2;2;2588.6304
611;20.7;2;0.047684831;5;212.5876;4;2009;2;3;3;1286.3256
598;15.7;2;0.123159656;7;110.1544;3;2007;3;2;2;1230.3984
1270;16.5;1;0.036715907;10;180.0318;6;2002;3;2;2;3969.4996
1120;9.0;1;0.065236932;14;176.437;5;2004;4;2;2;7763.228
724;6.785;2;0.041947547;11;41.2112;2;1987;1;3;2;809.6128
1104;19.5;1;0.08288849599999999;4;178.6002;4;2009;2;3;3;1253.7014
210;7.575;1;0.055390121;5;195.2768;7;1997;4;1;2;5715.2272
384;18.2;2;0.012194556;7;57.7904;2;1987;1;3;2;1464.76
1015;16.75;1;0.060495243;5;169.8106;2;1987;1;3;2;3251.1014
1186;7.47;2;0.06396817760952248;6;214.3218;5;2004;4;2;2;4274.436
766;13.85;2;0.085622362;11;119.4124;4;2009;2;3;3;2251.7356
612;6.635;2;0.046350909;6;37.4506;3;2007;3;2;2;1176.4686
851;6.11;2;0.102920886;7;130.4968;7;1997;4;1;2;3523.4136
215;15.25;1;0.026604781;14;86.2198;5;2004;4;2;2;610.5386
270;15.85;1;0.06396817760952248;4;96.4094;5;2004;4;2;2;1237.7222
960;15.2;1;0.031860325;14;235.1248;1;1998;3;3;1;474.0496
36;20.75;1;0.021250002;15;150.5024;7;1997;4;1;2;2580.6408
641;10.195;1;0.159936948;6;143.2154;7;1997;4;1;2;2552.6772
1188;7.605;1;0.129503146;7;164.021;6;2002;3;2;2;3914.9040000000014
1068;18.0;2;0.142688846;7;88.5514;7;1997;4;1;2;796.9626
1313;18.35;1;0.08916305599999999;10;191.3504;6;2002;3;2;2;3259.7568
813;6.59;1;0.105761491;7;84.8908;8;1999;2;1;2;1677.816
687;13.8;2;0.05696081400000001;14;230.0984;8;1999;2;1;2;3707.1744
415;21.2;2;0.00704098;16;173.5738;7;1997;4;1;2;2954.1546
1190;10.5;2;0.011026594;14;166.4842;4;2009;2;3;3;2652.5472
1304;8.97;1;0.093203257;10;52.7956;6;2002;3;2;2;1037.3164
1354;10.6;1;0.035264298;9;86.1224;6;2002;3;2;2;426.112
962;13.65;1;0.015908423999999997;2;231.1668;5;2004;4;2;2;6911.004
1532;19.0;1;0.017719277;9;211.0244;7;1997;4;1;2;3811.0392
370;6.865;1;0.056919038;14;212.8218;8;1999;2;1;2;5770.4886
651;10.8;2;0.048143292;1;40.2138;7;1997;4;1;2;690.4346
818;16.7;1;0.022047313;5;110.2886;2;1987;1;3;2;1890.2062
903;15.15;1;0.027779254;1;150.1708;7;1997;4;1;2;1504.708
1553;10.5;1;0.06396817760952248;10;238.3248;1;1998;3;3;1;711.0744
1242;17.6;1;0.008033611;5;174.2422;4;2009;2;3;3;4311.055
441;19.35;1;0.033088472;11;175.4738;7;1997;4;1;2;521.3214
1280;15.7;1;0.160663021;10;59.4562;7;1997;4;1;2;829.5868
246;18.1;1;0.178975721;5;155.5288;3;2007;3;2;2;1571.2879999999998
363;10.195;2;0.017627888;16;239.6538;5;2004;4;2;2;2403.538
223;6.655;1;0.016993225;7;211.0586;6;2002;3;2;2;844.2344
1281;19.0;1;0.027139013;10;127.3336;3;2007;3;2;2;2940.1728
820;7.075;1;0.03777249;6;98.0068;1;1998;3;3;1;291.6204
204;13.15;1;0.036746479;6;181.2976;6;2002;3;2;2;3259.7568
1098;20.1;2;0.022460102000000003;7;226.8036;8;1999;2;1;2;3415.554
166;20.35;2;0.06396817760952248;5;256.7672;4;2009;2;3;3;5624.6784
1502;18.85;1;0.05213575;9;190.1846;8;1999;2;1;2;6687.9609999999975
1208;16.35;2;0.062508438;7;227.1062;8;1999;2;1;2;5642.655
1046;11.3;1;0.007309544;11;196.2426;4;2009;2;3;3;4943.565
672;17.5;1;0.015623753999999997;7;182.6266;4;2009;2;3;3;3135.2522
1068;18.0;2;0.14297822300000002;7;87.4514;6;2002;3;2;2;796.9626
1233;7.935;1;0.017191055;5;51.535;6;2002;3;2;2;848.895
964;20.25;2;0.011995271000000002;4;184.5924;7;1997;4;1;2;4997.4948
362;15.5;2;0.15717236;14;149.1418;8;1999;2;1;2;588.5672
81;15.35;1;0.020310046;15;218.0508;2;1987;1;3;2;3038.7112
1463;10.1;1;0.054630834;9;200.2084;7;1997;4;1;2;1587.2672
212;16.7;2;0.052517969000000005;6;115.4176;6;2002;3;2;2;687.1056
611;20.7;2;0.047565208;5;213.4876;8;1999;2;1;2;1929.4884
199;16.0;1;0.060797393;16;223.8404;2;1987;1;3;2;3600.6464
491;14.0;1;0.041291169;16;180.7634;7;1997;4;1;2;2181.1608
1119;12.85;1;0.022604051;7;181.4318;7;1997;4;1;2;3428.2042
771;20.85;2;0.056580228;2;105.6648;6;2002;3;2;2;623.1888
1352;12.35;1;0.16419682300000002;10;120.5124;8;1999;2;1;2;2133.2232
530;6.85;1;0.022976497;6;261.6594;4;2009;2;3;3;3401.5722
969;10.3;1;0.027310252;7;101.0042;5;2004;4;2;2;1289.6546
